UserID,Age,Gender,Budget,Duration,Interests,TravelStyle,PreferredClimate,DestinationID,PlaceName,State,Type,BestTimeToVisit,Popularity,Rating,Review,RecommendedDestinations,ItineraryPlan
U001,58,Male,10000,7,"Relaxation, Mountains",Family,Moderate,D01,Manali,Himachal Pradesh,Beach,Winter,Low,4.4,Best trip ever,"Manali, Gangtok","Day 1: Arrival in Manali, Day 2-3: Explore local spots, Day 4: Departure"
U002,45,Male,10000,3,"Relaxation, Mountains",Solo,Moderate,D02,Goa,Goa,Mountain,Summer,Low,4.1,Best trip ever,"Jaipur, Goa","Day 1: Arrival in Goa, Day 2-3: Explore local spots, Day 4: Departure"
U003,46,Other,20000,3,"Relaxation, Wildlife",Couple,Hot,D02,Goa,Goa,Mountain,Summer,High,4.9,Loved every bit of it,"Manali, Ooty","Day 1: Arrival in Goa, Day 2-3: Explore local spots, Day 4: Departure"
U004,42,Male,20000,7,"Beach, Cultural",Solo,Moderate,D04,Jaipur,Rajasthan,Desert,Winter,Low,2.8,Not worth the money,"Manali, Gangtok","Day 1: Arrival in Jaipur, Day 2-3: Explore local spots, Day 4: Departure"
U005,36,Other,30000,7,"Beach, Relaxation",Solo,Cold,D06,Ooty,Tamil Nadu,Beach,Monsoon,High,4.4,Amazing experience!,"Goa, Manali","Day 1: Arrival in Ooty, Day 2-3: Explore local spots, Day 4: Departure"
U006,42,Female,25000,7,"Relaxation, Cultural",Couple,Cold,D06,Ooty,Tamil Nadu,Beach,Monsoon,Medium,4.3,Mediocre facilities,"Ooty, Manali","Day 1: Arrival in Ooty, Day 2-3: Explore local spots, Day 4: Departure"
U007,56,Other,15000,5,"Relaxation, Wildlife",Friends,Hot,D06,Ooty,Tamil Nadu,Beach,Monsoon,Low,3.9,Mediocre facilities,"Munnar, Manali","Day 1: Arrival in Ooty, Day 2-3: Explore local spots, Day 4: Departure"
U008,32,Male,20000,10,"Cultural, Adventure",Family,Moderate,D06,Ooty,Tamil Nadu,Beach,Monsoon,Medium,3.0,Not worth the money,"Jaipur, Ooty","Day 1: Arrival in Ooty, Day 2-3: Explore local spots, Day 4: Departure"
U009,27,Female,15000,5,"Mountains, Beach",Couple,Moderate,D05,Gangtok,Sikkim,Hill Station,Summer,Medium,4.7,Not worth the money,"Munnar, Goa","Day 1: Arrival in Gangtok, Day 2-3: Explore local spots, Day 4: Departure"
U010,26,Other,25000,3,"Adventure, Mountains",Family,Moderate,D02,Goa,Goa,Mountain,Summer,Low,3.6,Amazing experience!,"Jaipur, Ooty","Day 1: Arrival in Goa, Day 2-3: Explore local spots, Day 4: Departure"
U011,56,Female,30000,7,"Beach, Adventure",Solo,Moderate,D05,Gangtok,Sikkim,Hill Station,Summer,Medium,4.4,Loved every bit of it,"Manali, Munnar","Day 1: Arrival in Gangtok, Day 2-3: Explore local spots, Day 4: Departure"
U012,45,Male,25000,3,"Mountains, Cultural",Family,Moderate,D01,Manali,Himachal Pradesh,Beach,Winter,Low,3.2,Mediocre facilities,"Gangtok, Ooty","Day 1: Arrival in Manali, Day 2-3: Explore local spots, Day 4: Departure"
U013,30,Male,20000,5,"Beach, Mountains",Solo,Moderate,D03,Munnar,Kerala,City,Monsoon,Medium,2.5,Loved every bit of it,"Munnar, Goa","Day 1: Arrival in Munnar, Day 2-3: Explore local spots, Day 4: Departure"
U014,21,Male,30000,3,"Adventure, Wildlife",Solo,Moderate,D02,Goa,Goa,Mountain,Summer,High,4.1,Best trip ever,"Goa, Munnar","Day 1: Arrival in Goa, Day 2-3: Explore local spots, Day 4: Departure"
U015,51,Other,25000,5,"Beach, Relaxation",Couple,Hot,D06,Ooty,Tamil Nadu,Beach,Monsoon,Low,3.4,Best trip ever,"Jaipur, Manali","Day 1: Arrival in Ooty, Day 2-3: Explore local spots, Day 4: Departure"
U016,33,Male,10000,7,"Adventure, Beach",Family,Moderate,D02,Goa,Goa,Mountain,Summer,High,2.7,Mediocre facilities,"Manali, Goa","Day 1: Arrival in Goa, Day 2-3: Explore local spots, Day 4: Departure"
U017,22,Male,20000,3,"Beach, Relaxation",Couple,Moderate,D04,Jaipur,Rajasthan,Desert,Winter,High,3.8,Mediocre facilities,"Gangtok, Ooty","Day 1: Arrival in Jaipur, Day 2-3: Explore local spots, Day 4: Departure"
U018,48,Male,25000,10,"Relaxation, Adventure",Solo,Moderate,D04,Jaipur,Rajasthan,Desert,Winter,Medium,3.6,Not worth the money,"Ooty, Manali","Day 1: Arrival in Jaipur, Day 2-3: Explore local spots, Day 4: Departure"
U019,59,Other,10000,3,"Wildlife, Cultural",Solo,Cold,D02,Goa,Goa,Mountain,Summer,High,3.8,Could be better,"Jaipur, Goa","Day 1: Arrival in Goa, Day 2-3: Explore local spots, Day 4: Departure"
U020,35,Female,15000,3,"Wildlife, Beach",Solo,Cold,D06,Ooty,Tamil Nadu,Beach,Monsoon,Low,4.6,Amazing experience!,"Goa, Ooty","Day 1: Arrival in Ooty, Day 2-3: Explore local spots, Day 4: Departure"
U021,44,Female,25000,5,"Wildlife, Adventure",Family,Hot,D01,Manali,Himachal Pradesh,Beach,Winter,Medium,3.2,Not worth the money,"Munnar, Jaipur","Day 1: Arrival in Manali, Day 2-3: Explore local spots, Day 4: Departure"
U022,53,Other,25000,5,"Relaxation, Cultural",Family,Cold,D05,Gangtok,Sikkim,Hill Station,Summer,Low,3.9,Mediocre facilities,"Munnar, Manali","Day 1: Arrival in Gangtok, Day 2-3: Explore local spots, Day 4: Departure"
U023,21,Other,25000,5,"Adventure, Beach",Solo,Cold,D01,Manali,Himachal Pradesh,Beach,Winter,Low,2.7,Could be better,"Jaipur, Manali","Day 1: Arrival in Manali, Day 2-3: Explore local spots, Day 4: Departure"
U024,54,Male,30000,3,"Beach, Adventure",Friends,Moderate,D05,Gangtok,Sikkim,Hill Station,Summer,Low,3.8,Loved every bit of it,"Goa, Munnar","Day 1: Arrival in Gangtok, Day 2-3: Explore local spots, Day 4: Departure"
U025,33,Female,25000,5,"Mountains, Cultural",Friends,Hot,D01,Manali,Himachal Pradesh,Beach,Winter,High,3.6,Best trip ever,"Manali, Ooty","Day 1: Arrival in Manali, Day 2-3: Explore local spots, Day 4: Departure"
U026,52,Male,30000,7,"Relaxation, Cultural",Solo,Cold,D03,Munnar,Kerala,City,Monsoon,Medium,2.9,Best trip ever,"Ooty, Munnar","Day 1: Arrival in Munnar, Day 2-3: Explore local spots, Day 4: Departure"
U027,57,Other,30000,3,"Mountains, Beach",Couple,Moderate,D01,Manali,Himachal Pradesh,Beach,Winter,High,3.2,Amazing experience!,"Ooty, Gangtok","Day 1: Arrival in Manali, Day 2-3: Explore local spots, Day 4: Departure"
U028,27,Female,20000,5,"Mountains, Cultural",Family,Moderate,D06,Ooty,Tamil Nadu,Beach,Monsoon,Medium,3.8,Loved every bit of it,"Manali, Ooty","Day 1: Arrival in Ooty, Day 2-3: Explore local spots, Day 4: Departure"
U029,58,Female,20000,3,"Adventure, Cultural",Family,Moderate,D03,Munnar,Kerala,City,Monsoon,High,4.4,Best trip ever,"Ooty, Jaipur","Day 1: Arrival in Munnar, Day 2-3: Explore local spots, Day 4: Departure"
U030,53,Male,10000,3,"Mountains, Relaxation",Solo,Hot,D05,Gangtok,Sikkim,Hill Station,Summer,Low,2.9,Could be better,"Manali, Munnar","Day 1: Arrival in Gangtok, Day 2-3: Explore local spots, Day 4: Departure"
U031,41,Male,20000,5,"Mountains, Relaxation",Solo,Hot,D05,Gangtok,Sikkim,Hill Station,Summer,Medium,4.9,Mediocre facilities,"Goa, Ooty","Day 1: Arrival in Gangtok, Day 2-3: Explore local spots, Day 4: Departure"
U032,28,Male,25000,3,"Relaxation, Cultural",Friends,Moderate,D06,Ooty,Tamil Nadu,Beach,Monsoon,High,3.2,Mediocre facilities,"Manali, Jaipur","Day 1: Arrival in Ooty, Day 2-3: Explore local spots, Day 4: Departure"
U033,20,Female,15000,5,"Wildlife, Cultural",Couple,Cold,D02,Goa,Goa,Mountain,Summer,High,4.2,Not worth the money,"Munnar, Ooty","Day 1: Arrival in Goa, Day 2-3: Explore local spots, Day 4: Departure"
U034,22,Female,20000,10,"Mountains, Beach",Couple,Cold,D01,Manali,Himachal Pradesh,Beach,Winter,Medium,2.9,Loved every bit of it,"Manali, Ooty","Day 1: Arrival in Manali, Day 2-3: Explore local spots, Day 4: Departure"
U035,56,Female,20000,7,"Wildlife, Beach",Solo,Hot,D05,Gangtok,Sikkim,Hill Station,Summer,High,3.1,Mediocre facilities,"Jaipur, Manali","Day 1: Arrival in Gangtok, Day 2-3: Explore local spots, Day 4: Departure"
U036,51,Other,15000,7,"Wildlife, Adventure",Couple,Moderate,D03,Munnar,Kerala,City,Monsoon,Low,4.6,Mediocre facilities,"Munnar, Gangtok","Day 1: Arrival in Munnar, Day 2-3: Explore local spots, Day 4: Departure"
U037,37,Other,25000,7,"Wildlife, Cultural",Family,Cold,D04,Jaipur,Rajasthan,Desert,Winter,Low,4.9,Mediocre facilities,"Ooty, Goa","Day 1: Arrival in Jaipur, Day 2-3: Explore local spots, Day 4: Departure"
U038,57,Other,20000,10,"Beach, Adventure",Couple,Hot,D02,Goa,Goa,Mountain,Summer,Medium,4.5,Best trip ever,"Ooty, Munnar","Day 1: Arrival in Goa, Day 2-3: Explore local spots, Day 4: Departure"
